代码,名称,当前价,ATR,突破信号,建议手数,止损价,潜在突破位(20日最高价),距离突破%,最新日期,加仓机会,加仓目标价列表,PE,PB,ROE
002466,天齐锂业,66.67,3.408,False,2900,59.85,82.49,23.73,2026-05-25,False,[],N/A,N/A,
002475,立讯精密,74.7,3.944,False,2500,66.81,81.78,9.48,2026-05-25,False,[],N/A,N/A,
002493,荣盛石化,11.51,0.572,False,17400,10.37,14.11,22.59,2026-05-25,False,[],N/A,N/A,
002594,比亚迪,95.96,2.431,False,4100,91.1,105.64,10.09,2026-05-25,False,[],N/A,N/A,
002600,领益智造,16.09,0.804,False,12400,14.48,17.88,11.12,2026-05-25,False,[],N/A,N/A,
002601,龙佰集团,15.23,0.617,False,16200,14.0,18.19,19.44,2026-05-25,False,[],N/A,N/A,
002625,光启技术,40.5,1.575,False,6300,37.35,43.08,6.37,2026-05-25,False,[],N/A,N/A,
002648,卫星化学,24.05,1.332,False,7500,21.39,30.2,25.57,2026-05-25,False,[],N/A,N/A,
002709,天赐材料,53.07,3.498,False,2800,46.07,64.98,22.44,2026-05-25,False,[],N/A,N/A,
002714,牧原股份,38.44,1.365,False,7300,35.71,45.39,18.08,2026-05-25,False,[],N/A,N/A,
002736,国信证券,10.15,0.221,False,45100,9.71,11.33,11.63,2026-05-25,False,[],N/A,N/A,
002916,深南电路,400.0,20.847,True,400,358.31,409.74,2.44,2026-05-25,True,"[410.42, 420.85, 431.27]",N/A,N/A,
002920,德赛西威,108.32,4.184,False,2300,99.95,113.0,4.32,2026-05-25,False,[],N/A,N/A,
002938,鹏鼎控股,114.32,6.328,True,1500,101.66,114.32,0.0,2026-05-25,True,"[117.48, 120.65, 123.81]",N/A,N/A,
003816,中国广核,4.56,0.146,False,68400,4.27,4.94,8.33,2026-05-25,False,[],N/A,N/A,
600000,浦发银行,9.08,0.16,False,62300,8.76,9.65,6.28,2026-05-25,False,[],N/A,N/A,
600009,上海机场,25.55,0.428,False,23300,24.69,27.78,8.73,2026-05-25,False,[],N/A,N/A,
600010,包钢股份,2.53,0.097,False,103300,2.34,2.9,14.62,2026-05-25,False,[],N/A,N/A,
600011,华能国际,7.46,0.219,False,45500,7.02,7.9,5.9,2026-05-25,False,[],N/A,N/A,
600015,华夏银行,6.75,0.112,False,89400,6.53,7.24,7.26,2026-05-25,False,[],N/A,N/A,
600016,民生银行,3.52,0.038,False,263300,3.44,3.77,7.1,2026-05-25,False,[],N/A,N/A,
600018,上港集团,5.08,0.066,False,152400,4.95,5.16,1.57,2026-05-25,False,[],N/A,N/A,
600019,宝钢股份,5.95,0.117,False,85200,5.72,6.55,10.08,2026-05-25,False,[],N/A,N/A,
600023,浙能电力,5.91,0.231,False,43200,5.45,6.77,14.55,2026-05-25,False,[],N/A,N/A,
600025,华能水电,9.32,0.206,False,48500,8.91,9.95,6.76,2026-05-25,False,[],N/A,N/A,
600026,中远海能,21.88,1.285,False,7700,19.31,23.99,9.64,2026-05-25,False,[],N/A,N/A,
600027,华电国际,5.17,0.144,False,69500,4.88,5.55,7.35,2026-05-25,False,[],N/A,N/A,
600028,中国石化,4.92,0.087,False,115500,4.75,5.5,11.79,2026-05-25,False,[],N/A,N/A,
600029,南方航空,5.54,0.162,False,61700,5.22,5.77,4.15,2026-05-25,False,[],N/A,N/A,
600030,中信证券,26.19,0.579,False,17200,25.03,27.84,6.3,2026-05-25,False,[],N/A,N/A,
600031,三一重工,18.83,0.713,False,14000,17.4,22.48,19.38,2026-05-25,False,[],N/A,N/A,
600036,招商银行,36.94,0.389,False,25700,36.16,39.99,8.26,2026-05-25,False,[],N/A,N/A,
600039,四川路桥,8.31,0.258,False,38600,7.79,10.15,22.14,2026-05-25,False,[],N/A,N/A,
600048,保利发展,5.87,0.191,False,52300,5.49,6.86,16.87,2026-05-25,False,[],N/A,N/A,
600050,中国联通,4.46,0.136,False,73400,4.19,5.11,14.57,2026-05-25,False,[],N/A,N/A,
600061,国投资本,6.42,0.139,False,71900,6.14,6.88,7.17,2026-05-25,False,[],N/A,N/A,
600066,宇通客车,32.01,1.176,False,8500,29.66,37.72,17.84,2026-05-25,False,[],N/A,N/A,
600085,同仁堂,25.25,0.448,False,22300,24.35,28.45,12.67,2026-05-25,False,[],N/A,N/A,
600089,特变电工,26.56,0.879,False,11300,24.8,29.67,11.71,2026-05-25,False,[],N/A,N/A,
600104,上汽集团,12.33,0.226,False,44300,11.88,13.99,13.46,2026-05-25,False,[],N/A,N/A,
600111,北方稀土,51.11,2.275,False,4300,46.56,57.96,13.4,2026-05-25,False,[],N/A,N/A,
600115,中国东航,4.4,0.184,False,54200,4.03,4.7,6.82,2026-05-25,False,[],N/A,N/A,
600150,中国船舶,37.9,1.531,False,6500,34.84,43.42,14.56,2026-05-25,False,[],N/A,N/A,
600160,巨化股份,35.26,1.58,False,6300,32.1,37.66,6.81,2026-05-25,False,[],N/A,N/A,
600161,天坛生物,13.39,0.327,False,30500,12.74,15.0,12.02,2026-05-25,False,[],N/A,N/A,
600176,中国巨石,39.42,2.184,False,4500,35.05,39.88,1.17,2026-05-25,False,[],N/A,N/A,
600183,生益科技,116.52,6.016,True,1600,104.49,117.81,1.11,2026-05-25,True,"[119.53, 122.54, 125.54]",N/A,N/A,
600188,兖矿能源,20.77,1.018,False,9800,18.73,23.6,13.63,2026-05-25,False,[],N/A,N/A,
600196,复星医药,23.3,0.47,False,21200,22.36,25.89,11.12,2026-05-25,False,[],N/A,N/A,
600219,南山铝业,5.22,0.216,False,46400,4.79,6.18,18.39,2026-05-25,False,[],N/A,N/A,
600233,圆通速递,18.51,0.692,False,14400,17.13,22.86,23.5,2026-05-25,False,[],N/A,N/A,
600276,恒瑞医药,49.43,1.733,False,5700,45.96,58.87,19.1,2026-05-25,False,[],N/A,N/A,
600309,万华化学,76.85,2.638,False,3700,71.57,90.92,18.31,2026-05-25,False,[],N/A,N/A,
600346,恒力石化,18.47,0.984,False,10100,16.5,24.47,32.49,2026-05-25,False,[],N/A,N/A,
600362,江西铜业,45.03,2.064,False,4800,40.9,51.88,15.21,2026-05-25,False,[],N/A,N/A,
600372,中航机载,11.86,0.336,False,29700,11.19,13.81,16.44,2026-05-25,False,[],N/A,N/A,
600377,宁沪高速,12.36,0.201,False,49700,11.96,12.55,1.54,2026-05-25,False,[],N/A,N/A,
600406,国电南瑞,26.26,0.809,False,12300,24.64,28.48,8.45,2026-05-25,False,[],N/A,N/A,
600415,小商品城,13.62,0.516,False,19300,12.59,14.36,5.43,2026-05-25,False,[],N/A,N/A,
600426,华鲁恒升,29.91,1.492,False,6700,26.93,39.7,32.73,2026-05-25,False,[],N/A,N/A,
600436,片仔癀,123.96,2.685,False,3700,118.59,146.97,18.56,2026-05-25,False,[],N/A,N/A,
600438,通威股份,15.6,0.618,False,16100,14.36,18.83,20.71,2026-05-25,False,[],N/A,N/A,
600460,士兰微,34.19,1.313,True,7600,31.56,34.23,0.12,2026-05-25,True,"[34.85, 35.5, 36.16]",N/A,N/A,
600482,中国动力,36.43,2.195,False,4500,32.04,43.35,19.0,2026-05-25,False,[],N/A,N/A,
600489,中金黄金,23.78,1.008,False,9900,21.76,28.48,19.76,2026-05-25,False,[],N/A,N/A,
600515,海南机场,3.27,0.09,False,110500,3.09,3.64,11.31,2026-05-25,False,[],N/A,N/A,
600519,贵州茅台,1285.88,21.298,False,400,1243.28,1458.88,13.45,2026-05-25,False,[],N/A,N/A,
600522,中天科技,42.89,2.734,False,3600,37.42,47.4,10.52,2026-05-25,False,[],N/A,N/A,
600547,山东黄金,30.06,1.273,False,7800,27.51,37.13,23.52,2026-05-25,False,[],N/A,N/A,
600570,恒生电子,26.15,0.767,False,13000,24.62,28.08,7.38,2026-05-25,False,[],N/A,N/A,
600584,长电科技,80.17,4.281,True,2300,71.61,80.17,0.0,2026-05-25,True,"[82.31, 84.45, 86.59]",N/A,N/A,
600585,海螺水泥,19.38,0.4,False,24900,18.58,21.84,12.69,2026-05-25,False,[],N/A,N/A,
600588,用友网络,10.94,0.432,False,23100,10.08,12.88,17.73,2026-05-25,False,[],N/A,N/A,
600600,青岛啤酒,60.26,0.745,False,13400,58.77,63.83,5.92,2026-05-25,False,[],N/A,N/A,
600660,福耀玻璃,53.83,1.349,False,7400,51.13,61.08,13.47,2026-05-25,False,[],N/A,N/A,
600674,川投能源,14.97,0.362,False,27600,14.25,15.78,5.41,2026-05-25,False,[],N/A,N/A,
600690,海尔智家,20.31,0.435,False,23000,19.44,21.85,7.58,2026-05-25,False,[],N/A,N/A,
600741,华域汽车,16.96,0.358,False,27900,16.24,20.64,21.7,2026-05-25,False,[],N/A,N/A,
600760,中航沈飞,44.22,1.194,False,8300,41.83,50.97,15.26,2026-05-25,False,[],N/A,N/A,
600795,国电电力,4.97,0.128,False,78300,4.71,5.17,4.02,2026-05-25,False,[],N/A,N/A,
600803,新奥股份,19.33,0.596,False,16700,18.14,21.58,11.64,2026-05-25,False,[],N/A,N/A,
600809,山西汾酒,128.63,4.11,False,2400,120.41,146.95,14.24,2026-05-25,False,[],N/A,N/A,
600845,宝信软件,22.01,0.956,False,10400,20.1,25.0,13.58,2026-05-25,False,[],N/A,N/A,
600875,东方电气,37.02,2.122,False,4700,32.78,45.25,22.23,2026-05-25,False,[],N/A,N/A,
600886,国投电力,13.49,0.316,False,31600,12.86,13.99,3.71,2026-05-25,False,[],N/A,N/A,
600887,伊利股份,26.27,0.517,False,19300,25.24,28.4,8.11,2026-05-25,False,[],N/A,N/A,
600893,航发动力,45.0,2.296,False,4300,40.41,53.0,17.78,2026-05-25,False,[],N/A,N/A,
600900,长江电力,26.67,0.32,False,31200,26.03,27.42,2.81,2026-05-25,False,[],N/A,N/A,
600905,三峡能源,4.12,0.063,False,159100,3.99,4.29,4.13,2026-05-25,False,[],N/A,N/A,
600918,中泰证券,5.64,0.093,False,107400,5.45,6.1,8.16,2026-05-25,False,[],N/A,N/A,
600919,江苏银行,11.15,0.19,False,52500,10.77,11.46,2.78,2026-05-25,False,[],N/A,N/A,
600926,杭州银行,16.14,0.28,False,35700,15.58,17.59,8.98,2026-05-25,False,[],N/A,N/A,
600930,华电新能,6.14,0.189,False,52900,5.76,6.84,11.4,2026-05-25,False,[],N/A,N/A,
600938,中国海油,34.62,1.04,False,9600,32.54,40.52,17.04,2026-05-25,False,[],N/A,N/A,
600941,中国移动,96.62,1.625,False,6100,93.37,103.36,6.98,2026-05-25,False,[],N/A,N/A,
600958,东方证券,9.56,0.281,False,35500,9.0,10.14,6.07,2026-05-25,False,[],N/A,N/A,
600989,宝丰能源,24.9,1.254,False,7900,22.39,31.61,26.95,2026-05-25,False,[],N/A,N/A,
600999,招商证券,17.5,0.435,False,22900,16.63,18.25,4.29,2026-05-25,False,[],N/A,N/A,
601006,大秦铁路,5.35,0.087,False,114900,5.18,5.55,3.74,2026-05-25,False,[],N/A,N/A,
601009,南京银行,10.82,0.194,False,51500,10.43,11.95,10.44,2026-05-25,False,[],N/A,N/A,
601012,隆基绿能,14.85,0.487,False,20500,13.88,17.79,19.8,2026-05-25,False,[],N/A,N/A,
601018,XD宁波港,3.57,0.075,False,132700,3.42,3.88,8.68,2026-05-25,False,[],N/A,N/A,
601021,春秋航空,48.36,1.377,False,7200,45.61,49.35,2.05,2026-05-25,False,[],N/A,N/A,
601058,赛轮轮胎,13.1,0.406,False,24600,12.29,14.7,12.21,2026-05-25,False,[],N/A,N/A,
601059,信达证券,17.26,0.245,False,40700,16.77,17.51,1.45,2026-05-25,False,[],N/A,N/A,
601066,中信建投,22.45,0.492,False,20300,21.47,23.53,4.81,2026-05-25,False,[],N/A,N/A,
601077,渝农商行,6.8,0.154,False,64700,6.49,7.54,10.88,2026-05-25,False,[],N/A,N/A,
601088,中国神华,44.78,1.109,False,9000,42.56,48.7,8.75,2026-05-25,False,[],N/A,N/A,
601100,恒立液压,111.0,5.141,False,1900,100.72,118.85,7.07,2026-05-25,False,[],N/A,N/A,
601111,中国国航,6.94,0.21,False,47600,6.52,7.38,6.34,2026-05-25,False,[],N/A,N/A,
601117,中国化学,7.85,0.206,False,48600,7.44,8.7,10.83,2026-05-25,False,[],N/A,N/A,
601127,赛力斯,82.08,2.973,False,3300,76.13,95.94,16.89,2026-05-25,False,[],N/A,N/A,
601136,首创证券,15.18,0.371,False,26900,14.44,17.06,12.38,2026-05-25,False,[],N/A,N/A,
601138,工业富联,70.3,3.347,False,2900,63.61,74.0,5.26,2026-05-25,False,[],N/A,N/A,
601166,兴业银行,17.64,0.214,False,46700,17.21,18.41,4.37,2026-05-25,False,[],N/A,N/A,
601169,北京银行,5.09,0.05,False,198100,4.99,5.52,8.45,2026-05-25,False,[],N/A,N/A,
601186,中国铁建,6.35,0.08,False,125100,6.19,6.89,8.5,2026-05-25,False,[],N/A,N/A,
601211,国泰海通,15.15,0.323,False,30900,14.5,16.89,11.49,2026-05-25,False,[],N/A,N/A,
601225,陕西煤业,23.89,0.857,False,11600,22.18,26.83,12.31,2026-05-25,False,[],N/A,N/A,
601229,上海银行,9.04,0.156,False,63900,8.73,9.97,10.29,2026-05-25,False,[],N/A,N/A,
601236,红塔证券,7.03,0.128,False,78200,6.77,7.74,10.1,2026-05-25,False,[],N/A,N/A,
601238,广汽集团,6.29,0.13,False,77100,6.03,7.18,14.15,2026-05-25,False,[],N/A,N/A,
601288,农业银行,6.44,0.133,False,74900,6.17,7.11,10.4,2026-05-25,False,[],N/A,N/A,
601298,青岛港,8.88,0.185,False,54000,8.51,9.2,3.6,2026-05-25,False,[],N/A,N/A,
601318,中国平安,54.22,1.26,False,7900,51.7,61.11,12.71,2026-05-25,False,[],N/A,N/A,
601319,中国人保,7.0,0.17,False,58800,6.66,7.52,7.43,2026-05-25,False,[],N/A,N/A,
601328,交通银行,6.61,0.097,False,103200,6.42,7.04,6.51,2026-05-25,False,[],N/A,N/A,
601336,新华保险,59.4,1.792,False,5500,55.82,67.16,13.06,2026-05-25,False,[],N/A,N/A,
601360,三六零,10.79,0.35,False,28500,10.09,12.1,12.14,2026-05-25,False,[],N/A,N/A,
601377,兴业证券,5.8,0.127,False,78600,5.55,6.21,7.07,2026-05-25,False,[],N/A,N/A,
601390,中国中铁,4.73,0.087,False,114500,4.56,5.28,11.63,2026-05-25,False,[],N/A,N/A,
601398,工商银行,7.17,0.12,False,83300,6.93,7.62,6.28,2026-05-25,False,[],N/A,N/A,
601456,国联民生,9.08,0.18,False,55500,8.72,9.74,7.27,2026-05-25,False,[],N/A,N/A,
601600,中国铝业,10.99,0.454,False,22000,10.08,12.23,11.28,2026-05-25,False,[],N/A,N/A,
